<X> <Y>
2.920555512182745e-03 2.896794976177777e+04
2.940820170587064e-03 2.895400795542588e+04
2.961225437988034e-03 2.893987787077266e+04
2.981772290019673e-03 2.892555704832880e+04
3.002461709085549e-03 2.891104299881712e+04
3.023294684405777e-03 2.889633320288025e+04
3.044272212064303e-03 2.888142511078476e+04
3.065395295056527e-03 2.886631614212741e+04
3.086664943337274e-03 2.885100368553822e+04
3.108082173869064e-03 2.883548509838475e+04
3.129648010670750e-03 2.881975770647501e+04
3.151363484866479e-03 2.880381880375964e+04
3.173229634734976e-03 2.878766565203458e+04
3.195247505759214e-03 2.877129548064293e+04
3.217418150676372e-03 2.875470548617632e+04
3.239742629528196e-03 2.873789283217729e+04
3.262222009711670e-03 2.872085464884016e+04
3.284857366030043e-03 2.870358803271407e+04
3.307649780744242e-03 2.868609004640374e+04
3.330600343624588e-03 2.866835771827286e+04
3.353710152002929e-03 2.865038804214682e+04
3.376980310825091e-03 2.863217797701630e+04
3.400411932703706e-03 2.861372444674142e+04
3.424006137971426e-03 2.859502433975719e+04
3.447764054734464e-03 2.857607450877959e+04
3.471686818926559e-03 2.855687177051273e+04
3.495775574363275e-03 2.853741290535805e+04
3.520031472796679e-03 2.851769465712390e+04
3.544455673970436e-03 2.849771373273763e+04
3.569049345675230e-03 2.847746680195898e+04
3.593813663804626e-03 2.845695049709566e+04
3.618749812411280e-03 2.843616141272097e+04
3.643858983763544e-03 2.841509610539355e+04
3.669142378402494e-03 2.839375109338026e+04
3.694601205199302e-03 2.837212285638067e+04
3.720236681413066e-03 2.835020783525610e+04
3.746050032748993e-03 2.832800243175959e+04
3.772042493416998e-03 2.830550300827118e+04
3.798215306190736e-03 2.828270588753583e+04
3.824569722466999e-03 2.825960735240507e+04
3.851107002325569e-03 2.823620364558249e+04
3.877828414589457e-03 2.821249096937466e+04
3.904735236885560e-03 2.818846548544480e+04
3.931828755705771e-03 2.816412331457260e+04
3.959110266468458e-03 2.813946053641814e+04
3.986581073580439e-03 2.811447318929228e+04
4.014242490499322e-03 2.808915726993105e+04
4.042095839796306e-03 2.806350873327698e+04
4.070142453219439e-03 2.803752349226670e+04
4.098383671757262e-03 2.801119741762456e+04
4.126820845702952e-03 2.798452633766272e+04
4.155455334718876e-03 2.795750603808962e+04
4.184288507901581e-03 2.793013226182430e+04
4.213321743847289e-03 2.790240070882014e+04
4.242556430717777e-03 2.787430703589525e+04
4.271993966306777e-03 2.784584685657269e+04
4.301635758106795e-03 2.781701574092875e+04
4.331483223376399e-03 2.778780921545108e+04
4.361537789208006e-03 2.775822276290579e+04
4.391800892596086e-03 2.772825182221553e+04
4.422273980505897e-03 2.769789178834756e+04
4.452958509942656e-03 2.766713801221292e+04
4.483855948021186e-03 2.763598580057719e+04
4.514967772036102e-03 2.760443041598221e+04
4.546295469532400e-03 2.757246707668182e+04
4.577840538376616e-03 2.754009095658872e+04
4.609604486828434e-03 2.750729718523545e+04
4.641588833612777e-03 2.747408084774944e+04
4.673795107992464e-03 2.744043698484133e+04
4.706224849841282e-03 2.740636059280948e+04
4.738879609717651e-03 2.737184662355886e+04
4.771760948938746e-03 2.733688998463640e+04
4.804870439655129e-03 2.730148553928277e+04
4.838209664925958e-03 2.726562810650108e+04
4.871780218794631e-03 2.722931246114384e+04
4.905583706365045e-03 2.719253333401767e+04
4.939621743878321e-03 2.715528541200746e+04
4.973895958790063e-03 2.711756333821970e+04
5.008407989848212e-03 2.707936171214690e+04
5.043159487171359e-03 2.704067508985174e+04
5.078152112327670e-03 2.700149798417418e+04
5.113387538414326e-03 2.696182486496037e+04
5.148867450137492e-03 2.692165015931428e+04
5.184593543892913e-03 2.688096825187416e+04
5.220567527846975e-03 2.683977348511270e+04
5.256791122018419e-03 2.679806015966314e+04
5.293266058360562e-03 2.675582253467151e+04
5.329994080844088e-03 2.671305482817545e+04
5.366976945540477e-03 2.666975121751173e+04
5.404216420705915e-03 2.662590583975165e+04
5.441714286865887e-03 2.658151279216640e+04
5.479472336900287e-03 2.653656613272293e+04
5.517492376129128e-03 2.649105988061098e+04
5.555776222398878e-03 2.644498801680252e+04
5.594325706169377e-03 2.639834448464463e+04
5.633142670601352e-03 2.635112319048600e+04
5.672228971644543e-03 2.630331800433921e+04
5.711586478126435e-03 2.625492276057917e+04
5.751217071841614e-03 2.620593125867815e+04
5.791122647641758e-03 2.615633726397989e+04
5.831305113526219e-03 2.610613450851235e+04
5.871766390733255e-03 2.605531669184129e+04
5.912508413831881e-03 2.600387748196526e+04
5.953533130814370e-03 2.595181051625282e+04
5.994842503189409e-03 2.589910940242424e+04
6.036438506075864e-03 2.584576771957754e+04
6.078323128297230e-03 2.579177901926070e+04
6.120498372476703e-03 2.573713682659154e+04
6.162966255132942e-03 2.568183464142570e+04
6.205728806776500e-03 2.562586593957466e+04
6.248788072006888e-03 2.556922417407448e+04
6.292146109610344e-03 2.551190277650744e+04
6.335804992658254e-03 2.545389515837642e+04
6.379766808606282e-03 2.539519471253511e+04
6.424033659394191e-03 2.533579481467383e+04
6.468607661546328e-03 2.527568882486318e+04
6.513490946272803e-03 2.521487008915674e+04
6.558685659571436e-03 2.515333194125426e+04
6.604193962330305e-03 2.509106770422616e+04
6.650018030431118e-03 2.502807069230193e+04
6.696160054853222e-03 2.496433421272268e+04
6.742622241778342e-03 2.489985156766003e+04
