# p(r) aus IFT (Glatter 1977)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# r / nm	p(r)	sigma_p(r)
3.10850000e+01	-6.02709414e-03	1.09300256e-01
3.13958500e+01	5.93478338e-03	7.41345209e-02
3.17067000e+01	-2.86496229e-03	9.22360681e-02
3.20175500e+01	-9.15471874e-04	1.17710677e-01
3.23284000e+01	3.46612604e-03	6.90369198e-02
3.26392500e+01	-3.08871228e-03	1.12722133e-01
3.29501000e+01	1.01382937e-03	1.13440393e-01
3.32609500e+01	9.94091620e-04	7.22681832e-02
3.35718000e+01	-9.30525530e-04	1.27727007e-01
3.38826500e+01	-7.30431026e-04	9.42238478e-02
3.41935000e+01	2.58933178e-03	9.50167242e-02
3.45043500e+01	-2.66089772e-03	1.32802335e-01
3.48152000e+01	8.47437773e-04	7.62308045e-02
3.51260500e+01	1.87584985e-03	1.28696584e-01
3.54369000e+01	-3.68475417e-03	1.20792069e-01
3.57477500e+01	3.94209217e-03	9.34162288e-02
3.60586000e+01	-2.96656398e-03	1.50916414e-01
3.63694500e+01	1.96594082e-03	9.39409186e-02
3.66803000e+01	-1.53547383e-03	1.33572590e-01
3.69911500e+01	1.49773416e-03	1.36916641e-01
3.73020000e+01	-9.50029198e-04	8.48942164e-02
3.76128500e+01	-5.92339643e-04	1.62259385e-01
3.79237000e+01	2.63329194e-03	9.57456854e-02
3.82345500e+01	-3.83670559e-03	1.30494139e-01
3.85454000e+01	3.14283802e-03	1.49471646e-01
3.88562500e+01	-9.58806411e-04	1.01508428e-01
3.91671000e+01	-1.04606672e-03	1.67083173e-01
3.94779500e+01	1.30735125e-03	9.65355748e-02
3.97888000e+01	-2.93933925e-04	1.78780210e-01
4.00996500e+01	3.62161449e-05	1.55675026e-01
4.04105000e+01	-2.04309232e-03	1.00613167e-01
4.07213500e+01	4.63808663e-03	1.98905628e-01
4.10322000e+01	-4.31664056e-03	8.88633325e-02
4.13430500e+01	-6.56487549e-04	1.77050651e-01
4.16539000e+01	6.88750402e-03	1.47896304e-01
4.19647500e+01	-8.85093337e-03	1.56706126e-01
4.22756000e+01	4.46833978e-03	1.90545048e-01
4.25864500e+01	1.60854121e-03	8.65945081e-02
4.28973000e+01	-3.56709375e-03	2.34837181e-01
4.32081500e+01	1.35375460e-03	1.13454385e-01
4.35190000e+01	-1.51305350e-03	1.64785286e-01
4.38298500e+01	7.70369507e-03	1.77576460e-01
4.41407000e+01	-1.42404172e-02	1.39925035e-01
4.44515500e+01	1.10761977e-02	2.00971931e-01
4.47624000e+01	2.08503008e-03	8.13634519e-02
4.50732500e+01	-1.26473330e-02	2.16721190e-01
4.53841000e+01	8.20170965e-03	8.94851353e-02
4.56949500e+01	6.99051689e-03	1.92292934e-01
4.60058000e+01	-1.60447861e-02	1.64343246e-01
4.63166500e+01	9.59672402e-03	1.74002285e-01
4.66275000e+01	1.80176776e-03	1.95739653e-01
4.69383500e+01	-2.46448465e-03	9.20736517e-02
4.72492000e+01	-6.71973777e-03	2.32004871e-01
4.75600500e+01	8.51865494e-03	8.39816604e-02
4.78709000e+01	5.14742311e-03	2.62545319e-01
4.81817500e+01	-1.89539683e-02	1.36890600e-01
4.84926000e+01	1.22968584e-02	2.29720180e-01
4.88034500e+01	1.10800911e-02	1.54021857e-01
4.91143000e+01	-2.49323032e-02	1.92710806e-01
4.94251500e+01	1.29590385e-02	2.78675319e-01
4.97360000e+01	9.69485405e-03	1.10774475e-01
5.00468500e+01	-1.69482195e-02	2.59802075e-01
5.03577000e+01	5.39659381e-03	5.89449997e-02
