# Formfaktor P(q) = I_fit/S(q) (ohne Untergrund)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	P(q)	sigma_P(q)
5.75722638e+00	5.26596158e-03	1.97883570e-02
5.81868155e+00	6.10379451e-03	1.97793338e-02
5.88079272e+00	5.68064902e-03	1.97832538e-02
5.94356689e+00	4.98292503e-03	1.97907190e-02
6.00701114e+00	5.57209105e-03	1.97841835e-02
6.07113262e+00	5.93701837e-03	1.97795769e-02
6.13593856e+00	5.18320021e-03	1.97879249e-02
6.20143627e+00	5.14522052e-03	1.97884224e-02
6.26763313e+00	5.81548279e-03	1.97800893e-02
6.33453660e+00	5.44480779e-03	1.97841796e-02
6.40215424e+00	4.99100552e-03	1.97898360e-02
6.47049365e+00	5.56650461e-03	1.97823585e-02
6.53956254e+00	5.57211861e-03	1.97818350e-02
6.60936871e+00	4.99489699e-03	1.97894088e-02
6.67992002e+00	5.36431260e-03	1.97843485e-02
6.75122443e+00	5.57875593e-03	1.97809656e-02
6.82328997e+00	5.03015979e-03	1.97885753e-02
6.89612477e+00	5.25049313e-03	1.97853792e-02
6.96973704e+00	5.52888487e-03	1.97808985e-02
7.04413508e+00	5.04014487e-03	1.97880971e-02
7.11932728e+00	5.20950425e-03	1.97854845e-02
7.19532211e+00	5.46015048e-03	1.97811914e-02
7.27212815e+00	5.01944350e-03	1.97881313e-02
7.34975404e+00	5.22085019e-03	1.97847986e-02
7.42820855e+00	5.37587705e-03	1.97818654e-02
7.50750052e+00	4.98926586e-03	1.97883995e-02
7.58763889e+00	5.26610673e-03	1.97834784e-02
7.66863268e+00	5.26189322e-03	1.97832505e-02
7.75049104e+00	4.98866647e-03	1.97882105e-02
7.83322319e+00	5.31079322e-03	1.97820466e-02
7.91683847e+00	5.11775591e-03	1.97854842e-02
8.00134628e+00	5.05780498e-03	1.97866573e-02
8.08675618e+00	5.29061817e-03	1.97817927e-02
8.17307777e+00	4.99876292e-03	1.97875987e-02
8.26032080e+00	5.18207490e-03	1.97837437e-02
8.34849510e+00	5.15739352e-03	1.97840106e-02
8.43761061e+00	5.00929580e-03	1.97872145e-02
8.52767738e+00	5.23542796e-03	1.97820157e-02
8.61870556e+00	5.00097581e-03	1.97871944e-02
8.71070542e+00	5.14836957e-03	1.97837384e-02
8.80368732e+00	5.10432810e-03	1.97845655e-02
8.89766175e+00	5.02826240e-03	1.97863901e-02
8.99263931e+00	5.17523843e-03	1.97825892e-02
9.08863070e+00	4.98234767e-03	1.97873670e-02
9.18564674e+00	5.16290074e-03	1.97826228e-02
9.28369838e+00	5.00916884e-03	1.97865192e-02
9.38279666e+00	5.10301721e-03	1.97839722e-02
9.48295276e+00	5.05892355e-03	1.97849948e-02
9.58417797e+00	5.04314078e-03	1.97854240e-02
9.68648371e+00	5.09536365e-03	1.97837610e-02
9.78988150e+00	5.00504385e-03	1.97863788e-02
9.89438300e+00	5.10967754e-03	1.97831123e-02
1.00000000e+01	4.98793062e-03	1.97867322e-02
