# Formfaktor P(q) = I_fit/S(q) (ohne Untergrund)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	P(q)	sigma_P(q)
1.46119959e-01	2.34988083e+03	3.19228227e+00
1.47679708e-01	2.30185951e+03	3.13727686e+00
1.49256106e-01	2.25365520e+03	3.08431746e+00
1.50849332e-01	2.20528772e+03	3.03327745e+00
1.52459564e-01	2.15677766e+03	2.98398153e+00
1.54086984e-01	2.10814641e+03	2.93621029e+00
1.55731777e-01	2.05941610e+03	2.88970612e+00
1.57394126e-01	2.01060967e+03	2.84418029e+00
1.59074220e-01	1.96175080e+03	2.79932089e+00
1.60772248e-01	1.91286396e+03	2.75480133e+00
1.62488402e-01	1.86397434e+03	2.71028920e+00
1.64222875e-01	1.81510791e+03	2.66545503e+00
1.65975862e-01	1.76629134e+03	2.61998071e+00
1.67747562e-01	1.71755201e+03	2.57356748e+00
1.69538173e-01	1.66891802e+03	2.52594310e+00
1.71347898e-01	1.62041811e+03	2.47686816e+00
1.73176941e-01	1.57208168e+03	2.42614139e+00
1.75025508e-01	1.52393875e+03	2.37360400e+00
1.76893807e-01	1.47601991e+03	2.31914280e+00
1.78782049e-01	1.42835631e+03	2.26269236e+00
1.80690448e-01	1.38097963e+03	2.20423607e+00
1.82619217e-01	1.33392200e+03	2.14380610e+00
1.84568575e-01	1.28721598e+03	2.08148242e+00
1.86538741e-01	1.24089451e+03	2.01739083e+00
1.88529938e-01	1.19499086e+03	1.95170004e+00
1.90542389e-01	1.14953855e+03	1.88461796e+00
