# Strukturfaktor S(q) (hs_py_avg)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	S(q)
2.51122111e-01	1.13127593e+00
2.53802699e-01	1.11776885e+00
2.56511900e-01	1.10413249e+00
2.59250021e-01	1.09046934e+00
2.62017370e-01	1.07687521e+00
2.64814259e-01	1.06343896e+00
2.67641003e-01	1.05024227e+00
2.70497921e-01	1.03735969e+00
2.73385334e-01	1.02485876e+00
2.76303570e-01	1.01280024e+00
2.79252956e-01	1.00123843e+00
2.82233825e-01	9.90221525e-01
2.85246513e-01	9.79792041e-01
2.88291359e-01	9.69987234e-01
2.91368708e-01	9.60839519e-01
2.94478906e-01	9.52376896e-01
2.97622304e-01	9.44623333e-01
3.00799255e-01	9.37599132e-01
3.04010119e-01	9.31321249e-01
3.07255256e-01	9.25803574e-01
3.10535034e-01	9.21057151e-01
3.13849822e-01	9.17090351e-01
3.17199993e-01	9.13908986e-01
3.20585925e-01	9.11516358e-01
3.24008001e-01	9.09913241e-01
3.27466605e-01	9.09097805e-01
3.30962127e-01	9.09065467e-01
3.34494963e-01	9.09808666e-01
3.38065509e-01	9.11316583e-01
3.41674169e-01	9.13574782e-01
3.45321350e-01	9.16564790e-01
3.49007462e-01	9.20263622e-01
3.52732921e-01	9.24643247e-01
3.56498147e-01	9.29670029e-01
3.60303565e-01	9.35304137e-01
3.64149604e-01	9.41498970e-01
3.68036697e-01	9.48200605e-01
3.71965283e-01	9.55347324e-01
3.75935804e-01	9.62869246e-01
3.79948708e-01	9.70688133e-01
3.84004448e-01	9.78717401e-01
3.88103481e-01	9.86862415e-01
3.92246268e-01	9.95021114e-01
3.96433277e-01	1.00308501e+00
4.00664981e-01	1.01094064e+00
4.04941855e-01	1.01847138e+00
4.09264383e-01	1.02555984e+00
4.13633051e-01	1.03209050e+00
4.18048352e-01	1.03795280e+00
4.22510784e-01	1.04304442e+00
4.27020850e-01	1.04727462e+00
4.31579059e-01	1.05056754e+00
4.36185923e-01	1.05286519e+00
4.40841964e-01	1.05412999e+00
