# IFT-Fit I(q) im Fitbereich
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I_fit	sigma_I_fit
1.46119959e-01	1.56487963e+03	2.12714869e+00
1.47679708e-01	1.56662072e+03	2.13657516e+00
1.49256106e-01	1.56784791e+03	2.14720276e+00
1.50849332e-01	1.56850593e+03	2.15896746e+00
1.52459564e-01	1.56853571e+03	2.17176043e+00
1.54086984e-01	1.56787439e+03	2.18542639e+00
1.55731777e-01	1.56645532e+03	2.19976315e+00
1.57394126e-01	1.56420812e+03	2.21452227e+00
1.59074220e-01	1.56105884e+03	2.22941096e+00
1.60772248e-01	1.55693018e+03	2.24409525e+00
1.62488402e-01	1.55174186e+03	2.25820422e+00
1.64222875e-01	1.54541099e+03	2.27133535e+00
1.65975862e-01	1.53785271e+03	2.28306097e+00
1.67747562e-01	1.52898089e+03	2.29293546e+00
1.69538173e-01	1.51870899e+03	2.30050335e+00
1.71347898e-01	1.50695108e+03	2.30530812e+00
1.73176941e-01	1.49362311e+03	2.30690145e+00
1.75025508e-01	1.47864423e+03	2.30485303e+00
1.76893807e-01	1.46193837e+03	2.29876053e+00
1.78782049e-01	1.44343595e+03	2.28825969e+00
1.80690448e-01	1.42307575e+03	2.27303424e+00
1.82619217e-01	1.40080685e+03	2.25282544e+00
1.84568575e-01	1.37659067e+03	2.22744084e+00
1.86538741e-01	1.35040298e+03	2.19676214e+00
1.88529938e-01	1.32223593e+03	2.16075151e+00
1.90542389e-01	1.29209990e+03	2.11945627e+00
1.92576322e-01	1.26002514e+03	2.07301137e+00
1.94631967e-01	1.22606312e+03	2.02163944e+00
1.96709554e-01	1.19028757e+03	1.96564818e+00
1.98809319e-01	1.15279494e+03	1.90542481e+00
2.00931497e-01	1.11370442e+03	1.84142759e+00
2.03076328e-01	1.07315736e+03	1.77417453e+00
2.05244054e-01	1.03131605e+03	1.70422954e+00
2.07434919e-01	9.88361883e+02	1.63218655e+00
2.09649171e-01	9.44492991e+02	1.55865207e+00
2.11887059e-01	8.99921251e+02	1.48422732e+00
2.14148834e-01	8.54868913e+02	1.40949051e+00
2.16434753e-01	8.09564858e+02	1.33498059e+00
2.18745073e-01	7.64240660e+02	1.26118328e+00
2.21080054e-01	7.19126577e+02	1.18852033e+00
2.23439960e-01	6.74447622e+02	1.11734274e+00
2.25825056e-01	6.30419858e+02	1.04792828e+00
2.28235612e-01	5.87247029e+02	9.80483441e-01
2.30671900e-01	5.45117641e+02	9.15149350e-01
2.33134193e-01	5.04202570e+02	8.52011090e-01
2.35622770e-01	4.64653238e+02	7.91109306e-01
2.38137911e-01	4.26600381e+02	7.32452991e-01
2.40679900e-01	3.90153400e+02	6.76032209e-01
2.43249023e-01	3.55400261e+02	6.21829675e-01
2.45845570e-01	3.22407892e+02	5.69830318e-01
2.48469834e-01	2.91223003e+02	5.20028242e-01
2.51122111e-01	2.61873265e+02	4.72430860e-01
2.53802699e-01	2.34368762e+02	4.27060250e-01
2.56511900e-01	2.08703627e+02	3.83952022e-01
2.59250021e-01	1.84857812e+02	3.43152191e-01
2.62017370e-01	1.62798902e+02	3.04712592e-01
2.64814259e-01	1.42483923e+02	2.68685446e-01
2.67641003e-01	1.23861108e+02	2.35117618e-01
2.70497921e-01	1.06871562e+02	2.04045068e-01
2.73385334e-01	9.14508142e+01	1.75487906e-01
2.76303570e-01	7.75302328e+01	1.49446369e-01
2.79252956e-01	6.50382936e+01	1.25897947e-01
2.82233825e-01	5.39016936e+01	1.04795837e-01
2.85246513e-01	4.40463135e+01	8.60687692e-02
2.88291359e-01	3.53980341e+01	6.96222444e-02
2.91368708e-01	2.78834121e+01	5.53410996e-02
2.94478906e-01	2.14302279e+01	4.30932491e-02
2.97622304e-01	1.59679137e+01	3.27343238e-02
3.00799255e-01	1.14278760e+01	2.41127635e-02
3.04010119e-01	7.74372246e+00	1.70746406e-02
3.07255256e-01	4.85140634e+00	1.14670144e-02
3.10535034e-01	2.68929738e+00	7.13759352e-03
3.13849822e-01	1.19819132e+00	3.92621522e-03
3.17199993e-01	3.21266417e-01	1.63959776e-03
3.20585925e-01	3.99609341e-03	3.99976785e-05
3.24008001e-01	1.94025562e-01	1.39111924e-03
3.27466605e-01	8.41019894e-01	2.98156111e-03
3.30962127e-01	1.89649036e+00	5.09475360e-03
3.34494963e-01	3.31360554e+00	7.87184392e-03
3.38065509e-01	5.04699368e+00	1.13365459e-02
3.41674169e-01	7.05254249e+00	1.54548911e-02
3.45321350e-01	9.28720309e+00	2.01625599e-02
3.49007462e-01	1.17088050e+01	2.53753869e-02
3.52732921e-01	1.42758895e+01	3.09943808e-02
3.56498147e-01	1.69475698e+01	3.69097517e-02
3.60303565e-01	1.96834260e+01	4.30053608e-02
3.64149604e-01	2.24434454e+01	4.91638153e-02
3.68036697e-01	2.51880163e+01	5.52719295e-02
3.71965283e-01	2.78779868e+01	6.12260199e-02
3.75935804e-01	3.04747972e+01	6.69363759e-02
3.79948708e-01	3.29406944e+01	7.23302057e-02
3.84004448e-01	3.52390349e+01	7.73524369e-02
3.88103481e-01	3.73346801e+01	8.19639739e-02
3.92246268e-01	3.91944812e+01	8.61373979e-02
3.96433277e-01	4.07878484e+01	8.98506190e-02
4.00664981e-01	4.20873900e+01	9.30795572e-02
4.04941855e-01	4.30695995e+01	9.57913739e-02
4.09264383e-01	4.37155622e+01	9.79399234e-02
4.13633051e-01	4.40116432e+01	9.94648152e-02
4.18048352e-01	4.39501148e+01	1.00294786e-01
