# IFT-Fit I(q) im Fitbereich
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I_fit	sigma_I_fit
4.27658783e+00	4.87003398e-03	4.86476166e-05
4.32223801e+00	2.72683963e-03	2.72768188e-05
4.36837548e+00	1.02679473e-03	1.02811893e-05
4.41500544e+00	2.01513740e-03	2.01641683e-05
4.46213315e+00	4.00633225e-03	4.00744728e-05
4.50976393e+00	3.93233649e-03	3.93352281e-05
4.55790313e+00	1.92529037e-03	1.92649716e-05
4.60655619e+00	1.03143372e-03	1.03257129e-05
4.65572860e+00	2.45352171e-03	2.45461089e-05
4.70542590e+00	3.72879448e-03	3.72981079e-05
4.75565369e+00	2.74151369e-03	2.74248560e-05
4.80641763e+00	1.14102368e-03	1.14195736e-05
4.85772344e+00	1.51185327e-03	1.51276146e-05
4.90957692e+00	3.02011195e-03	3.02098518e-05
4.96198391e+00	2.93508141e-03	2.93589159e-05
5.01495031e+00	1.42265099e-03	1.42338932e-05
5.06848209e+00	1.16275859e-03	1.16344847e-05
5.12258530e+00	2.46147084e-03	2.46212544e-05
5.17726603e+00	2.76942811e-03	2.77003852e-05
5.23253045e+00	1.50356787e-03	1.50412432e-05
5.28838478e+00	1.08401879e-03	1.08451706e-05
5.34483533e+00	2.18846425e-03	2.18890012e-05
5.40188845e+00	2.49117084e-03	2.49156210e-05
5.45955059e+00	1.37673670e-03	1.37706459e-05
5.51782823e+00	1.12129617e-03	1.12156226e-05
5.57672796e+00	2.12581116e-03	2.12601202e-05
5.63625641e+00	2.15051557e-03	2.15066368e-05
5.69642029e+00	1.14874481e-03	1.14884142e-05
5.75722638e+00	1.28468656e-03	1.28473410e-05
5.81868155e+00	2.12515910e-03	2.12514674e-05
5.88079272e+00	1.70076727e-03	1.70070056e-05
5.94356689e+00	1.00110510e-03	1.00097597e-05
6.00701114e+00	1.59193832e-03	1.59176742e-05
6.07113262e+00	1.95826296e-03	1.95803420e-05
6.13593856e+00	1.20205320e-03	1.20176513e-05
6.20143627e+00	1.16394990e-03	1.16361755e-05
6.26763313e+00	1.83654365e-03	1.83616960e-05
6.33453660e+00	1.46465222e-03	1.46423714e-05
6.40215424e+00	1.00940559e-03	1.00894217e-05
6.47049365e+00	1.58686439e-03	1.58634472e-05
6.53956254e+00	1.59262804e-03	1.59204078e-05
6.60936871e+00	1.01340370e-03	1.01276154e-05
6.67992002e+00	1.38410701e-03	1.38344968e-05
6.75122443e+00	1.59951202e-03	1.59879578e-05
6.82328997e+00	1.04887078e-03	1.04809281e-05
6.89612477e+00	1.27001124e-03	1.26920940e-05
6.96973704e+00	1.54964973e-03	1.54882004e-05
7.04413508e+00	1.05897539e-03	1.05811235e-05
7.11932728e+00	1.22899607e-03	1.22810017e-05
7.19532211e+00	1.48081959e-03	1.47988466e-05
7.27212815e+00	1.03826891e-03	1.03728400e-05
7.34975404e+00	1.24052201e-03	1.23951925e-05
7.42820855e+00	1.39634730e-03	1.39532081e-05
7.50750052e+00	1.00802873e-03	1.00695918e-05
7.58763889e+00	1.28612946e-03	1.28505166e-05
7.66863268e+00	1.28197855e-03	1.28087832e-05
7.75049104e+00	1.00747686e-03	1.00634674e-05
7.83322319e+00	1.33120385e-03	1.33006133e-05
7.91683847e+00	1.13725017e-03	1.13609232e-05
8.00134628e+00	1.07700103e-03	1.07581397e-05
8.08675618e+00	1.31109575e-03	1.30989174e-05
8.17307777e+00	1.01772679e-03	1.01650304e-05
8.26032080e+00	1.20202421e-03	1.20078960e-05
8.34849510e+00	1.17727022e-03	1.17602690e-05
8.43761061e+00	1.02835654e-03	1.02708711e-05
8.52767738e+00	1.25583472e-03	1.25455075e-05
8.61870556e+00	1.02004120e-03	1.01873688e-05
8.71070542e+00	1.16831623e-03	1.16699880e-05
8.80368732e+00	1.12405960e-03	1.12272461e-05
8.89766175e+00	1.04752921e-03	1.04617685e-05
8.99263931e+00	1.19549000e-03	1.19412623e-05
9.08863070e+00	1.00137179e-03	9.99986224e-06
9.18564674e+00	1.18314007e-03	1.18175823e-05
9.28369838e+00	1.02840429e-03	1.02699018e-05
9.38279666e+00	1.12290379e-03	1.12150178e-05
9.48295276e+00	1.07854407e-03	1.07710469e-05
9.58417797e+00	1.06265300e-03	1.06121618e-05
9.68648371e+00	1.11530281e-03	1.11385424e-05
9.78988150e+00	1.02431724e-03	1.02284385e-05
9.89438300e+00	1.12978656e-03	1.12828807e-05
1.00000000e+01	1.00710504e-03	1.00559449e-05
