# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
3.92832251e+00	1.00766076e-03	1.00766076e-05
3.97025515e+00	2.84847579e-03	2.84847579e-05
4.01263540e+00	5.57307964e-03	5.57307964e-05
4.05546804e+00	5.68761838e-03	5.68761838e-05
4.09875789e+00	3.07196036e-03	3.07196036e-05
4.14250983e+00	1.05221428e-03	1.05221428e-05
4.18672880e+00	2.05098867e-03	2.05098867e-05
4.23141979e+00	4.46101140e-03	4.46101140e-05
4.27658783e+00	4.87153229e-03	4.87153229e-05
4.32223801e+00	2.72829541e-03	2.72829541e-05
4.36837548e+00	1.02819612e-03	1.02819612e-05
4.41500544e+00	2.01649746e-03	2.01649746e-05
4.46213315e+00	4.00765228e-03	4.00765228e-05
4.50976393e+00	3.93361673e-03	3.93361673e-05
4.55790313e+00	1.92652693e-03	1.92652693e-05
4.60655619e+00	1.03261262e-03	1.03261262e-05
4.65572860e+00	2.45462620e-03	2.45462620e-05
4.70542590e+00	3.72982368e-03	3.72982368e-05
4.75565369e+00	2.74249303e-03	2.74249303e-05
4.80641763e+00	1.14198003e-03	1.14198003e-05
4.85772344e+00	1.51277905e-03	1.51277905e-05
4.90957692e+00	3.02099065e-03	3.02099065e-05
4.96198391e+00	2.93589868e-03	2.93589868e-05
5.01495031e+00	1.42340323e-03	1.42340323e-05
5.06848209e+00	1.16346353e-03	1.16346353e-05
5.12258530e+00	2.46213333e-03	2.46213333e-05
5.17726603e+00	2.77004271e-03	2.77004271e-05
5.23253045e+00	1.50413053e-03	1.50413053e-05
5.28838478e+00	1.08452600e-03	1.08452600e-05
5.34483533e+00	2.18890356e-03	2.18890356e-05
5.40188845e+00	2.49156316e-03	2.49156316e-05
5.45955059e+00	1.37707088e-03	1.37707088e-05
5.51782823e+00	1.12156595e-03	1.12156595e-05
5.57672796e+00	2.12601478e-03	2.12601478e-05
5.63625641e+00	2.15066723e-03	2.15066723e-05
5.69642029e+00	1.14884636e-03	1.14884636e-05
5.75722638e+00	1.28473865e-03	1.28473865e-05
5.81868155e+00	2.12515029e-03	2.12515029e-05
5.88079272e+00	1.70070599e-03	1.70070599e-05
5.94356689e+00	1.00098692e-03	1.00098692e-05
6.00701114e+00	1.59177389e-03	1.59177389e-05
6.07113262e+00	1.95803963e-03	1.95803963e-05
6.13593856e+00	1.20177543e-03	1.20177543e-05
6.20143627e+00	1.16362858e-03	1.16362858e-05
6.26763313e+00	1.83617716e-03	1.83617716e-05
6.33453660e+00	1.46424728e-03	1.46424728e-05
6.40215424e+00	1.00895749e-03	1.00895749e-05
6.47049365e+00	1.58635489e-03	1.58635489e-05
6.53956254e+00	1.59205319e-03	1.59205319e-05
6.60936871e+00	1.01278216e-03	1.01278216e-05
6.67992002e+00	1.38346355e-03	1.38346355e-05
6.75122443e+00	1.59880991e-03	1.59880991e-05
6.82328997e+00	1.04811316e-03	1.04811316e-05
6.89612477e+00	1.26922884e-03	1.26922884e-05
6.96973704e+00	1.54883569e-03	1.54883569e-05
7.04413508e+00	1.05813571e-03	1.05813571e-05
7.11932728e+00	1.22812171e-03	1.22812171e-05
7.19532211e+00	1.47990252e-03	1.47990252e-05
7.27212815e+00	1.03731535e-03	1.03731535e-05
7.34975404e+00	1.23954350e-03	1.23954350e-05
7.42820855e+00	1.39534294e-03	1.39534294e-05
7.50750052e+00	1.00699520e-03	1.00699520e-05
7.58763889e+00	1.28507685e-03	1.28507685e-05
7.66863268e+00	1.28090547e-03	1.28090547e-05
7.75049104e+00	1.00638004e-03	1.00638004e-05
7.83322319e+00	1.33008869e-03	1.33008869e-05
7.91683847e+00	1.13611625e-03	1.13611625e-05
8.00134628e+00	1.07584376e-03	1.07584376e-05
8.08675618e+00	1.30992399e-03	1.30992399e-05
8.17307777e+00	1.01653660e-03	1.01653660e-05
8.26032080e+00	1.20082608e-03	1.20082608e-05
8.34849510e+00	1.17605919e-03	1.17605919e-05
8.43761061e+00	1.02712950e-03	1.02712950e-05
8.52767738e+00	1.25458990e-03	1.25458990e-05
8.61870556e+00	1.01878416e-03	1.01878416e-05
8.71070542e+00	1.16704502e-03	1.16704502e-05
8.80368732e+00	1.12277082e-03	1.12277082e-05
8.89766175e+00	1.04622700e-03	1.04622700e-05
8.99263931e+00	1.19417355e-03	1.19417355e-05
9.08863070e+00	1.00003971e-03	1.00003971e-05
9.18564674e+00	1.18179827e-03	1.18179827e-05
9.28369838e+00	1.02704845e-03	1.02704845e-05
9.38279666e+00	1.12153758e-03	1.12153758e-05
9.48295276e+00	1.07716576e-03	1.07716576e-05
9.58417797e+00	1.06126523e-03	1.06126523e-05
9.68648371e+00	1.11390848e-03	1.11390848e-05
9.78988150e+00	1.02289973e-03	1.02289973e-05
9.89438300e+00	1.12834927e-03	1.12834927e-05
1.00000000e+01	1.00564749e-03	1.00564749e-05
