# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
1.46119959e-01	1.56487996e+03	1.56487996e+01
1.47679708e-01	1.56662104e+03	1.56662104e+01
1.49256106e-01	1.56784822e+03	1.56784822e+01
1.50849332e-01	1.56850622e+03	1.56850622e+01
1.52459564e-01	1.56853598e+03	1.56853598e+01
1.54086984e-01	1.56787465e+03	1.56787465e+01
1.55731777e-01	1.56645556e+03	1.56645556e+01
1.57394126e-01	1.56420835e+03	1.56420835e+01
1.59074220e-01	1.56105905e+03	1.56105905e+01
1.60772248e-01	1.55693039e+03	1.55693039e+01
1.62488402e-01	1.55174205e+03	1.55174205e+01
1.64222875e-01	1.54541117e+03	1.54541117e+01
1.65975862e-01	1.53785289e+03	1.53785289e+01
1.67747562e-01	1.52898106e+03	1.52898106e+01
1.69538173e-01	1.51870916e+03	1.51870916e+01
1.71347898e-01	1.50695125e+03	1.50695125e+01
1.73176941e-01	1.49362329e+03	1.49362329e+01
1.75025508e-01	1.47864441e+03	1.47864441e+01
1.76893807e-01	1.46193855e+03	1.46193855e+01
1.78782049e-01	1.44343615e+03	1.44343615e+01
1.80690448e-01	1.42307596e+03	1.42307596e+01
1.82619217e-01	1.40080708e+03	1.40080708e+01
1.84568575e-01	1.37659091e+03	1.37659091e+01
1.86538741e-01	1.35040324e+03	1.35040324e+01
1.88529938e-01	1.32223621e+03	1.32223621e+01
1.90542389e-01	1.29210019e+03	1.29210019e+01
1.92576322e-01	1.26002544e+03	1.26002544e+01
1.94631967e-01	1.22606343e+03	1.22606343e+01
1.96709554e-01	1.19028789e+03	1.19028789e+01
1.98809319e-01	1.15279526e+03	1.15279526e+01
2.00931497e-01	1.11370474e+03	1.11370474e+01
2.03076328e-01	1.07315768e+03	1.07315768e+01
2.05244054e-01	1.03131635e+03	1.03131635e+01
2.07434919e-01	9.88362176e+02	9.88362176e+00
2.09649171e-01	9.44493265e+02	9.44493265e+00
2.11887059e-01	8.99921503e+02	8.99921503e+00
2.14148834e-01	8.54869140e+02	8.54869140e+00
2.16434753e-01	8.09565058e+02	8.09565058e+00
2.18745073e-01	7.64240832e+02	7.64240832e+00
2.21080054e-01	7.19126720e+02	7.19126720e+00
2.23439960e-01	6.74447737e+02	6.74447737e+00
2.25825056e-01	6.30419946e+02	6.30419946e+00
2.28235612e-01	5.87247092e+02	5.87247092e+00
2.30671900e-01	5.45117681e+02	5.45117681e+00
2.33134193e-01	5.04202591e+02	5.04202591e+00
2.35622770e-01	4.64653242e+02	4.64653242e+00
2.38137911e-01	4.26600371e+02	4.26600371e+00
2.40679900e-01	3.90153379e+02	3.90153379e+00
2.43249023e-01	3.55400233e+02	3.55400233e+00
2.45845570e-01	3.22407859e+02	3.22407859e+00
2.48469834e-01	2.91222968e+02	2.91222968e+00
2.51122111e-01	2.61873230e+02	2.61873230e+00
2.53802699e-01	2.34368728e+02	2.34368728e+00
2.56511900e-01	2.08703596e+02	2.08703596e+00
2.59250021e-01	1.84857784e+02	1.84857784e+00
2.62017370e-01	1.62798877e+02	1.62798877e+00
2.64814259e-01	1.42483903e+02	1.42483903e+00
2.67641003e-01	1.23861092e+02	1.23861092e+00
2.70497921e-01	1.06871550e+02	1.06871550e+00
2.73385334e-01	9.14508058e+01	9.14508058e-01
2.76303570e-01	7.75302276e+01	7.75302276e-01
2.79252956e-01	6.50382912e+01	6.50382912e-01
2.82233825e-01	5.39016934e+01	5.39016934e-01
2.85246513e-01	4.40463152e+01	4.40463152e-01
2.88291359e-01	3.53980371e+01	3.53980371e-01
2.91368708e-01	2.78834162e+01	2.78834162e-01
2.94478906e-01	2.14302326e+01	2.14302326e-01
2.97622304e-01	1.59679188e+01	1.59679188e-01
3.00799255e-01	1.14278812e+01	1.14278812e-01
3.04010119e-01	7.74372774e+00	7.74372774e-02
3.07255256e-01	4.85141155e+00	4.85141155e-02
3.10535034e-01	2.68930248e+00	2.68930248e-02
3.13849822e-01	1.19819630e+00	1.19819630e-02
3.17199993e-01	3.21271300e-01	3.21271300e-03
