<X> <Y>
7.033627442979903e-02 4.202971981855113e+00
7.108707477804192e-02 3.508247938021889e+00
7.184588949962901e-02 2.826694542740537e+00
7.261280414350853e-02 2.182132079169905e+00
7.338790517181579e-02 1.595828057206134e+00
7.417127996962099e-02 1.085697790769252e+00
7.496301685478104e-02 6.656903550381522e-01
7.576320508789652e-02 3.453651759630935e-01
7.657193488237496e-02 1.296545566492152e-01
7.738929741460146e-02 1.880212509815571e-02
7.821538483421801e-02 8.466245032212081e-03
7.905029027451245e-02 8.997983264411633e-02
7.989410786291830e-02 2.507621384182616e-01
8.074693273162674e-02 4.748818719823992e-01
8.160886102831180e-02 7.437724122797997e-01
8.247998992697014e-02 1.037096754171271e+00
8.336041763887640e-02 1.333750845132548e+00
8.425024342365563e-02 1.612978646183324e+00
8.514956760047369e-02 1.855551723283272e+00
8.605849155934749e-02 2.044943410004578e+00
8.697711777257554e-02 2.168407321947967e+00
8.790554980629078e-02 2.217858044525463e+00
8.884389233213665e-02 2.190453614319741e+00
8.979225113906773e-02 2.088798284259734e+00
9.075073314527650e-02 1.920719566926829e+00
9.171944641024726e-02 1.698620825184987e+00
9.269850014693884e-02 1.438461224179771e+00
9.368800473409718e-02 1.158458744120104e+00
9.468807172869961e-02 8.776407343179318e-01
9.569881387853170e-02 6.143757065610894e-01
9.672034513489849e-02 3.850103541671693e-01
9.775278066547144e-02 2.027122180581760e-01
9.879623686727237e-02 7.658849469207325e-02
9.985083137979618e-02 1.112256793369078e-02
1.009166830982735e-01 5.947063362974879e-03
1.019939121870750e-01 5.595723278502363e-02
1.030826400932586e-01 1.517593884705049e-01
1.041829895602617e-01 2.804413188650157e-01
1.052950846417392e-01 4.266393785252617e-01
1.064190507155491e-01 5.738554242075140e-01
1.075550144978882e-01 7.059443494114230e-01
1.087031040575773e-01 8.086532061557963e-01
1.098634488305005e-01 8.710552247671589e-01
1.110361796341974e-01 8.867001769896513e-01
1.122214286826116e-01 8.543102133629545e-01
1.134193296009963e-01 7.778952782722178e-01
1.146300174409799e-01 6.662410447528654e-01
1.158536286957908e-01 5.318192933942814e-01
1.170903013156467e-01 3.892622818065570e-01
